answer	explanation	initials	submitted
Yes	True work is underrate and marketing is overstated. I identify the things I care about and then make them my life. In turn, I get to keep on.	BP	0
No	I manage ad operations for a digital media company. I have a Graduate Degree in Poetics.	JWR  0
No	I hold back at work. I don't hold back at life; the conversations, the jokes, the emotions, smiles and frowns, those are me.  phc  0
No	Definitely, no. My humanity is different from my capacity for labor.	SF	0
No	No. I could quit every type of work I do now, find other work, and I would still be the same person.	RSD	0
Yes	My job is managing social media. I'm more popular online when my friends think I'm my work. I think I sound the same.	RD	0
Yes	I am a writer. I write for a living. I eat because I write. It a long time to be able to say that.	ds	0
Yes	I try to bring my "real-life" values to work: drive, empathy, loyalty, and celebrating/enabling creativity.  CA  0
No	It's just how I currently (try and) fund living/ surviving/ thriving	CRS	0
Yes	Work challenges my skills, my beliefs, my patience, my tenacity. It teaches me more about myself than leisure ever could.	ANK	0
Yes	My work is more me than I am, even if I've yet to recognize myself.	ER	0
Yes	Yes, I am my work. I feel it would be difficult to not be your work, if you yourself is doing it. Unless you copied someone.	TL	0
No	who I am defines my work, but my work does not entirely define who I am	MM	0
No	I hope Excel spreadsheets aren't who anyone is. I consider myself an artist, so I'm trying to shift toward that. Chicken before the egg.	SE	0
No	I don't really find my self peace from my work.	rzm	0
No	I haven't devoted enough time to it. I say I'm writing and painting but I do not keep a full day work schedule. Instead I stray on daily chores and let the suns go down	AG	0
No	I feel like I'm too many things to be just my work. Jack of all trades, master of none.  DG  0
Yes	For me, success is being proud of my creativity and challenging it every day.	MG	1400263272146
Yes	I'm a "bring your whole self to work" type person. I make sure everything I do for work is imbued with a piece of my personality.	SL	0
Yes	I am my work. I've been a nurse for 35 years. It defines me. Unfortunately. I'm a codependent sicko.	DD	1400354787223
Yes	I appreciate the luxury to be my work, knowing that most people on earth do not have the choice.  	1400359610876
NA	I strive for no separation, though am far from it.	MM	1400550469691
Yes	I strive to leave my mark on the world with everything I do. I work with my hands. My hands effect change on this world. I am my work.	JT	0
No	Even if I was forever disallowed from doing the work that I find significant, the person I am, essentially, wouldn't change.	LC	0
No	I am a poet who moonlights as an editor in a day-job. My job is to write. My task is to work for money to provide the house for my creativity.	LMB	0
No	This is a big question for me. I am a designer, no doubt. But I'm unsure work can ever be enough play for me to fully self identify.	GB	0
Yes	I tell myself this because I want to feel like *everything* is a part of my creative practice. Otherwise, what's the point?	TC	0
Yes	I think I have three jobs. I think I like them all. I teach, I draw for others and I make things for myself. If I didn't do those three things I don't know what I would do.	KBB	0
No	I am an individual, and my work falls into the category of culture. It is important to me, but it does not constitute me.	ROM	0
No	I am my client's work. And they have horrible taste in architecture and design.	KSH	0
No	My work is creative, intellectual, and requires a deep sense of personal investment, but the "content" or "product" I create is certainly not my sole measure of self worth.	EB	0
No	It's more fun to play	JF	0
Yes	It doesn't feel like work if it's your calling. The money is a reward, not a consolation. The people are my tribe.	DMG	0
Yes	My work is born from my lifestyle and affords me a platform to pursue my passions. My passions are aligned with my values and my work reinforces those values. Through my work, I create my future each day. I am my work.	DB	0
Yes	My work is not what you think. It is not the effort exchanged for a paycheck. I am he who listens to voices on the wind. I am he who dances with the spinning universe.	js	0
No	Here's the thing: people will forget everything about you except the way you made them feel. And we're lucky for that, because all those mistakes will be wiped away. Think about that as you're on your phone, as you're sending emails, as you are working	F	0
No	My work is just a sliver of what defines me. Yes I think through my work you can see bits of who I am. So maybe there really isn't a clear yes or no answer to this one.	KK	0
Yes	Designer that includes architecture, music, art, and people. Some a job, some hobbies, but all something I work on everyday since an early age.	DS	0
No	There are times in the past when I would have answered yes, but right now I'm just trading my time in this office for rent and food, hoping I can change my answer sometime soon. Even if I tried to mix up myself and my work now, I'd end up defeated by the tiers of thrashing middle-management between me and the world.	db	0
Yes	I am my work, I am what I create with others in this world; we all are. If you aren't your work, then you're probably just stuck in a job.	AQ	0
Yes	I work to buy time to do the things I enjoy. The things I enjoy require work to create. Work is all I know.	MH	0
No	Called my nephew, who couldn’t talk cause he was playing. Just sat there listening to him play. The game was his work, it wasn't him.	PL	1400280447447
Yes	Half of me is my work; half of me is not. Half of my work is play, the other half is work. Half the work and half the play is half-assed; I am working on all of this.	LM	1400346568358
No	I am more than a server. I am more than bartender. I am more than a girl who is required to bend-over-backwards for ridiculous requests and less than 10% tips. I am an artist, a lover, and a singer. My job is to serve you, which is not who I am. It is just a means to an end.	CR	1400350611886
Yes	My work is an extension and expression of how I have lived, either chosen for me, or chosen by others, and who I strive to be today. Artist.	AM	1400353314530
No	I write for a living, and write poetry. 90% of my time is spent writing. But life comes first. I'm not my work. My work is me.	JM	1400354215923
Yes	forever my work / barely ever my job	ks	1400356077395
NA	Diligently,trying to link artists and groups with new audiences and neighbourhoods, because that's what I needed as an artist myself back in the day.	BYA	1400358895605
Yes	I feel driven to do the work I do, so it is an integral part of who I am. However, the older I get, my commitment to my work is increasingly (and problematically) framed as an excuse/reason for not having or wanting	id.	1400378585266
No	The field is not mine. When they talk about the future, I hope I'll be gone before it matters.	LEC	1400381349694
No	"Remember what they say: there's no shortcut to a dream. It's all blood and sweat, and life is what you manage in between." (Broken Bells, 2010)	EKG	1400400994668
