neighborhood,neighborhood.lowercase,topic,topic.lowercase,we need more,so i will,city wide
hillsdale,hillsdale,transportation,transportation,"safe bike commuting routes to downtown from SW - (Raleigh Hills, etc)",leave the car @ home !! :),
hillsdale,hillsdale,transportation,transportation,walkable sidewalks,engage my neighbors,
hillsdale,hillsdale,transportation,transportation,sidewalks on major streets so we can walk or bike safely to the transit center !,,
hillsdale,hillsdale,transportation,transportation,safe bike routes to downtown / waterfront (barbur is not safe),"vote, tell my civic leaders",
hillsdale,hillsdale,transportation,transportation,more walkability and safe crossings,lobby city council for investment,
hillsdale,hillsdale,transportation,transportation,better pedestrian walkways & bike lanes,raise awareness,
hillsdale,hillsdale,transportation,transportation,low cost / free transit options,support candiates who make this a priority,
hillsdale,hillsdale,transportation,transportation,frequent arrivals of the 12,try to get to the stop faster so bus won't wait and be late,
hillsdale,hillsdale,transportation,transportation,sidewals along sunset blvd.,raise awareness wiret to elected officials / TriMet,
burlingame,burlingame,transportation,transportation,sidewalks on taylors ferry,use tem to walk kids to school,
burlingame,burlingame,transportation,transportation,public transporation at more frequent times in SW PDX,rid the bus more an rely less on the my car,
burlingame,burlingame,transportation,transportation,"sw portland needs sidewalks, protected bike lanes + transit service not in the 4 neighborhoods listed here yes in other neighboorhoods like ashcreek, crestwood, multhnomah ",advocate for improvements + safety of our transporation system,
burlingame,burlingame,transportation,transportation,Light rail & bus service in SW PDX,make some noise,
burlingame,burlingame,transportation,transportation,"Affordable Rent, end to no cause eviction",,
cully,cully,transportation,transportation,"put a crosswalk on cully blvd, like we have been asking for",keep fighting,
sunnyside,sunnyside,transportation,transportation,bikes and alternative modes of transporation to reduce the impact of traffic and reduce traffic times,encourage more people to bike and advocate for more safe bike routes,
sunnyside,sunnyside,transportation,transportation,covered bus stops,,
sunnyside,sunnyside,transportation,transportation,incentives to use public transportation,ask my work and organize w/ coworkers,
sunnyside,sunnyside,transportation,transportation,walking & biking honly pathways thru neighborhoods,help design & build more pathways push for policy to make it happen,
buckman,buckman,transportation,transportation,bike lanes on sandy blvd,stage a nude protest,
laurelhurst,laurelhurst,transportation,transportation,,advocate for investment in active transporation infrastructure!,
laurelhurst,laurelhurst,transportation,transportation,public transportation + less traffic,drive less,
laurelhurst,laurelhurst,transportation,transportation,stop signs down pine,wright the goverment,
lloyd,lloyd,transportation,transportation,mult-modal transportation emphasis!!,shout it out loud!!,
milwaukie,milwaukie,transportation,transportation,transportations to suburbs / improvements to safety and ease of access,Show my support by using public transportation when ever possible! make my voice heard!,
milwaukie,milwaukie,transportation,transportation,parking spots at the park & ride on Pork St. It fills up by 730. less of an issue aesthetically very unappealing,"write this note? what else can I do? Tri-Met is a joke. Zero accountability, no grevance, Proces outdated, completely inaccessible",
milwaukie,milwaukie,transportation,transportation,accssible Trimet options for those not able to get to the new oragne line. Bring back buses along mcloughlin blv PMO & milwaukie,have submitted my thoughts to trimet,
milwaukie,milwaukie,transportation,transportation,frequent bus service & more sidewalks,walk more to bring attention to it,
milwaukie,milwaukie,transportation,transportation,,"pass my books out mroe if you get a 7 days a week running bus in Canby, OR",
milwaukie,milwaukie,transportation,transportation,"buses, i grew up w / 6 day a week bus services - max does NOT work as well","carpool, trimet doesn't care about serving clackamas county residents",
South Waterfront,south waterfront,transportation,transportation,"Night access options (to OHSU, rest of region)","Be able to get to work, access healthcare and not face additional transit burden",
South Waterfront,south waterfront,transportation,transportation,"Night time transporation. I work at OHSU where we have to take public transportation and if you don't work during business hours it's impossible (or expensive!) to get to work usually its lesser paid jobs that work ""off hours"" so it's not equitable.",,
South Waterfront,south waterfront,transportation,transportation,Protected bike lanes across bridges,Keep biking until my legs fall off,
South Waterfront,south waterfront,transportation,transportation,Transportation conflicts with envrionmental resources. Care for stream and riparean corridors. Don't encroach.,Watch all neighborhoods. Continue to advocate for greater care for riparian corridors and wildlife.,
Overlook,overlook,transportation,transportation,"A max line that crosses to Vancouver, follows HWY 14 and crosses back at 205. The Couv Loop.",Never move to Vancouver and keep working here.,
Overlook,overlook,transportation,transportation,"More carpool lanes, plus extended hours, not just 3-6 M-F. Maybe weekend and everyday.",Not drive alone!,
Brooklyn,brooklyn,transportation,transportation,Ways to commute sustainably from Portland suburbs. Things like a max line from Vancouver!,Create a social media campaign to highlight the incoming traffic issue. ,
Brooklyn,brooklyn,transportation,transportation,I really enjoy... exploring the city using the public transporation.,Bring my friends and family to visit and tell them about my experience. :),
East Moreland,east moreland,transportation,transportation,Max lines on the east side and free parking!!!,Be able to get downtown easier and not take my car as much!,
Gateway,gateway,transportation,transportation,People-oriented streets. Discourage Vancouver commuters from speeding down Sandy. Build more predicatble transit.,Continue to bike. Comment on and support Portland comp plan.,
Gateway,gateway,transportation,transportation,Affordable housing help homeless people,,
Richmond,richmond,transportation,transportation,Be able to live and work in the same neighborhood,,
Richmond,richmond,transportation,transportation,Busses and bike ways,Never use a car again.,
Reed,reed,transportation,transportation,SE Woodstock neighborhood - more paved streets,,
Woodstock,woodstock,transportation,transportation,Effective ways to deal with traffic congestion as population increases,take public transport more often and ride my bike,
Woodstock,woodstock,transportation,transportation,Sidewalks,Advocate,
Forest Park / Goose Hollow / Bridlemile,forest park / goose hollow / bridlemile,transportation,transportation,Trimet to travel more places and all day long (e.g.) = trimet 51,Travel more places at my own time,
Forest Park / Goose Hollow / Bridlemile,forest park / goose hollow / bridlemile,transportation,transportation,Bus that ride every 5/10 minutes even at night,Go talk to the mayor about that project,
Forest Park / Goose Hollow / Bridlemile,forest park / goose hollow / bridlemile,transportation,transportation,Any single track MTB trails,Keep asking for it!,
Forest Park / Goose Hollow / Bridlemile,forest park / goose hollow / bridlemile,transportation,transportation,Public free transportation that reaches more places more frequently.,Support a candidate who wants to do this,
St. Johns,st. johns,transportation,transportation,Bike and pedestrian-friendly connections to the rest of Portland NP Greenway,,
Foster-Powell,foster-powell,transportation,transportation,Lanes on Foster!! Please help save it!,Love you forever!,
Foster-Powell,foster-powell,transportation,transportation,Public transit for Mt. Scott - Arleta,Love you forever!,
Foster-Powell,foster-powell,transportation,transportation,Bike lanes and ped crossing on Foster,attend city events and meetings where decisions are made,
Foster-Powell,foster-powell,transportation,transportation,sidewalks for school kids walking down SE 128th,,
Foster-Powell,foster-powell,transportation,transportation,affordable ways to take trimet for low income people - not just disabled or in treatment - new guidelines for more candidates eligibility for honored citizen / affordable trimet passes,"continue to pay too much, suffer ... we need transportation to work, need to work to afford transportation (so?)",
Foster-Powell,foster-powell,transportation,transportation,sidewalks and safe crossings around se 82nd ave,keep bugging PBOT and ODOT about it,
Foster-Powell,foster-powell,transportation,transportation,"cheaper options for trimet especially students!!! trimet cheaper than parking pros: downtown all day cons: rain (cold, freezing, walking long distances) I would put up with the inconvenience of train...)",I would volunteer / work for a cheaper ticket price if it was cheaper...,
Foster-Powell,foster-powell,transportation,transportation,equal quality of roads and streets throughout PDX!,write a letter to the legislators responsible for the terrible street quality east of 82nd ave,
Mt. Tabor,mt. tabor,transportation,transportation,Sidewalks and bike facilities,go to neighborhood association and ask for it!,
Mt. Tabor,mt. tabor,transportation,transportation,streetscars on the east side. specifically on glisan that doubles back on burnside,use more public transportation and drive less,
Mt. Tabor,mt. tabor,transportation,transportation,bike / ped / cafe life on glisan st.,,
Mt. Tabor,mt. tabor,transportation,transportation,bikes,,
Mt. Tabor,mt. tabor,transportation,transportation,potholes fixes in south tabor,have roads that are passable in the winter,
Mt. Tabor,mt. tabor,transportation,transportation,speed limit enforcement,petition the transportation bureau,
Mt. Tabor,mt. tabor,transportation,transportation,tram line. the bus system is not a long term solution for the population increase,widen streets (hawthorne?) to allow for a tram line that will not effect traffic,
Lents,lents,transportation,transportation,max trains every 5 minutes not 15 minutes - make the green line a full loop! - place for bikes!!!,:) only drive downtown once a week and bike or max it 4-5 days a week,
Lents,lents,transportation,transportation,"sidewalks, street lights, crosswalks and bus services. we have an inexcusable amount of pedestrian fatalities",,
Lents,lents,transportation,transportation,,advocate at city hall,
Lents,lents,transportation,transportation,safe and accessible mobility options east of 82nd,,
Lents,lents,transportation,transportation,street lights,email the community leader,
Lents,lents,transportation,transportation,sidewalks for safety,write an email to our neighborhood leader,
Lents,lents,transportation,transportation,sidewalks for school kids who walk in the street se 128th,,
Sellwood,sellwood,transportation,transportation,we need to love people who they are,in our heart to love this world to respect others,
Sullivan's Gulch,sullivan's gulch,transportation,transportation,"vision zero slow down, protect vulnerable road users","continue to walk and bike my neighborhood, showing the human side of the streets.",
Kerns,kerns,transportation,transportation,greenways for bikes sandy and 28th don't hit me,support my friends in public policy. cheers.,
